id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
500153,AFG-2023-3-951-107,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-11-19,Shocking Incident: Taliban Fighter Targets Elderly Man in Ghazni Shooting""",Hasht e Subh Daily,2023-11-19,Shocking Incident: Taliban Fighter Targets Elderly Man in Ghazni Shooting,Local sources,1,Sormeh village,village of Surma in the Nawur district of Ghazni province.,Ghazni province,Nawur district,33.750000,67.943610,POINT (67.94361 33.75),178336,Afghanistan,700,Asia,1,1,2023-11-16 00:00:00.000,2023-11-16 00:00:00.000,0,0,0,0,0,1,0,700,
500154,AFG-2023-3-951-108,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-11-18,Taliban Fighter Kills Prominent Ethnic Leader in Khost Province""",Hasht e Subh Daily,2023-11-18,Taliban Fighter Kills Prominent Ethnic Leader in Khost Province,Local sources in the province of Khost,2,Khost town,Dera Niazi in the center of Khost,Khost province,Khost district,33.335091,69.918411,POINT (69.918411 33.335091),177620,Afghanistan,700,Asia,1,1,2023-11-16 00:00:00.000,2023-11-16 00:00:00.000,0,0,0,0,0,1,0,700,
500064,AFG-2023-3-951-105,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Afghan Analyst on Twitter (X),2023-11-21,The ex-spokesman of the Attorney General Office (AGO) of #Afghanistan shared on his social media accounts that ""#Prosecutor Naqi Mohammad Taqi, along with his sister, were martyred on the Kabul-Nangarhar highway"";""Hasht e Subh Daily,2023-11-21,Former Government Prosecutor and Sister Found Murdered under Mysterious Circumstances on Kabul-Nangarhar Highway""",Afghan Analyst on Twitter (X);Hasht e Subh Daily,2023-11-21;2023-11-21,"The ex-spokesman of the Attorney General Office (AGO) of #Afghanistan shared on his social media accounts that ""#Prosecutor Naqi Mohammad Taqi, along with his sister, were martyred on the Kabul-Nangarhar highway;Former Government Prosecutor and Sister Found Murdered under Mysterious Circumstances on Kabul-Nangarhar Highway",ex-spokesman of the Attorney General Office (AGO) of #Afghanistan,2,Daman village,"Kabul-Nangarhar highway, in the village of Daman, in the Behsood district of Nangarhar province",Nangarhar province,Bihsud district,34.475240,70.532280,POINT (70.53228 34.47524),179062,Afghanistan,700,Asia,1,2,2023-11-18 00:00:00.000,2023-11-20 00:00:00.000,0,0,0,0,0,2,0,700,
500152,AFG-2023-3-951-106,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-11-21,Taliban Gun Down Civilian in Andarab""",Hasht e Subh Daily,2023-11-21,Taliban Gun Down Civilian in Andarab,Local sources in Baghlan province,3,Andarab district,Qasan Dara area of Andarab,Baghlan province,Andarab district,35.628450,69.177197,POINT (69.177197 35.62845),181219,Afghanistan,700,Asia,1,1,2023-11-20 00:00:00.000,2023-11-20 00:00:00.000,0,0,0,0,0,1,0,700,
498332,AFG-2023-3-973-388,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,10,"""Afghan Analyst on Twitter (X),2023-11-07,As anticipated, the ISKP group claimed responsibility for today's explosion targeting Shias in Kabul city."";""Afghan Analyst on Twitter (X),2023-11-07,The spokesperson for the Taliban's Kabul police confirmed that seven people were killed and 20 others were injured in an explosion that targeted a Coaster bus in the Dasht-e Barchi area of Kabul city this evening."";""Tolo News,2023-11-08,Richard Bennett, UN Special Rapporteur, said on X that “terrible reports of multiple deaths & and injuries in a 3rd explosive attack on Hazaras in under a month, the latest targeting a civilian bus in Dasht-e-Barchi district Kabul."";""Ariana News,2023-11-07,Blast hits commuter bus in Kabul, 7 killed, 20 injured"";""Kabul Now,2023-11-08,Explosion in Western Kabul Kills at Least Seven"";""Khaama Press,2023-11-07,Deadly bus explosion in Kabul kills seven: Police"";""Hasht e Subh Daily,2023-11-07,Taliban Report Seven Dead and Twenty Injured in Kabul Explosion"";""Agence France Presse,2023-11-07,Seven dead in Afghan capital bus explosion: police"";""Reuters News,2023-11-07,Islamic State claims responsibility for Kabul attack on passenger bus"";""Afghanistan Times,2023-11-08,Islamic State claims responsibility for Kabul bombing""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Tolo News;Ariana News;Kabul Now;Khaama Press;Hasht e Subh Daily;Agence France Presse;Reuters News;Afghanistan Times,2023-11-07;2023-11-07;2023-11-08;2023-11-07;2023-11-08;2023-11-07;2023-11-07;2023-11-07;2023-11-07;2023-11-08,"As anticipated, the ISKP group claimed responsibility for today's explosion targeting Shias in Kabul city.;The spokesperson for the Taliban's Kabul police confirmed that seven people were killed and 20 others were injured in an explosion that targeted a Coaster bus in the Dasht-e Barchi area of Kabul city this evening.;Richard Bennett, UN Special Rapporteur, said on X that “terrible reports of multiple deaths & and injuries in a 3rd explosive attack on Hazaras in under a month, the latest targeting a civilian bus in Dasht-e-Barchi district Kabul.;Blast hits commuter bus in Kabul, 7 killed, 20 injured;Explosion in Western Kabul Kills at Least Seven;Deadly bus explosion in Kabul kills seven: Police;Taliban Report Seven Dead and Twenty Injured in Kabul Explosion;Seven dead in Afghan capital bus explosion: police;Islamic State claims responsibility for Kabul attack on passenger bus;Islamic State claims responsibility for Kabul bombing","spokesperson for the Taliban's Kabul police; IS; Emergency hospital in Kabul; Richard Bennett, UN Special Rapporteur",1,Kabul city,Dasht-e Barchi area of Kabul city,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-11-07 00:00:00.000,2023-11-07 00:00:00.000,0,0,7,0,7,7,7,,
500057,AFG-2023-3-973-394,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Afghan Analyst on Twitter (X),2023-11-23,Sheikh Rajab Akhlaqi and Khadim Hossein Hedayati, two Hazara/Shia scholars, were fatally shot by unidentified gunmen in Jibril town of Herat province today."";""Hasht e Subh Daily,2023-11-23,Unidentified Gunmen Assassinate Two Religious Scholars in Herat Province""",Afghan Analyst on Twitter (X);Hasht e Subh Daily,2023-11-23;2023-11-23,"Sheikh Rajab Akhlaqi and Khadim Hossein Hedayati, two Hazara/Shia scholars, were fatally shot by unidentified gunmen in Jibril town of Herat province today.;Unidentified Gunmen Assassinate Two Religious Scholars in Herat Province",Afghan Analyst on Twitter (X); Local sources in Herat,1,Jibril village,in front of the “Sayed Al-Shohada” mosque in Jibril town of Herat province,Hirat province,Injil district,34.386900,62.148000,POINT (62.148 34.3869),179045,Afghanistan,700,Asia,1,1,2023-11-23 00:00:00.000,2023-11-23 00:00:00.000,0,0,2,0,2,2,0,,
498334,AFG-2023-1-14320-50,2023,true,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,2,"""Afghan Analyst on Twitter (X),2023-11-07,Local sources in Kunar province confirmed to me the killing of three ISKP members, including Abdul Halim, also known as Osama, in Sawkay district"";""Afghan Analyst on Twitter (X),2023-11-07,Al Mersaad media and various other pro-Taliban accounts reported on the killing of three ISKP members in a Taliban raid that took place in the Sawkay district of Kunar province this afternoon.""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X),2023-11-07;2023-11-07,"Local sources in Kunar province confirmed to me the killing of three ISKP members, including Abdul Halim, also known as Osama, in Sawkay district;Al Mersaad media and various other pro-Taliban accounts reported on the killing of three ISKP members in a Taliban raid that took place in the Sawkay district of Kunar province this afternoon.",Local sources in Kunar province; Al Mersaad media and various other pro-Taliban accounts,2,Chawkay district,Sawkay district,Kunar province,Chawkay district,34.740750,70.863598,POINT (70.863598 34.74075),179782,Afghanistan,700,Asia,1,1,2023-11-06 00:00:00.000,2023-11-06 00:00:00.000,1,3,0,0,4,4,4,700,
500931,AFG-2023-1-16825-60,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,2,"""NRF,2023-11-26,In an operation in Parwan province by the National Resistance Front of Afghanistan, 6 Taliban terrorists were killed and injured."";""Hasht e Subh Daily,2023-11-25,Rocket Attacks Target Bagram District Building in Parwan Province""",NRF;Hasht e Subh Daily,2023-11-26;2023-11-25,"In an operation in Parwan province by the National Resistance Front of Afghanistan, 6 Taliban terrorists were killed and injured.;Rocket Attacks Target Bagram District Building in Parwan Province",NRF; Local sources; eyewitnesses,1,Bagram town,Bagram city Bagram district in Parwan province,Parwan province,Bagram district,34.967461,69.295097,POINT (69.295097 34.967461),179779,Afghanistan,700,Asia,1,1,2023-11-25 00:00:00.000,2023-11-25 00:00:00.000,0,0,0,0,0,2,0,700,
500933,AFG-2023-1-16825-61,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,2,"""NRF,2023-11-26,In an operation by the brave forces of the National Resistance Front of Afghanistan, 3 Taliban terrorists were killed in Takhar."";""Hasht e Subh Daily,2023-11-25,Explosion in Taliqan City: One Taliban Fighter Killed, Two Others Injured""",NRF;Hasht e Subh Daily,2023-11-26;2023-11-25,"In an operation by the brave forces of the National Resistance Front of Afghanistan, 3 Taliban terrorists were killed in Takhar.;Explosion in Taliqan City: One Taliban Fighter Killed, Two Others Injured",NRF; Local sources in Takhar,1,Taluqan town,"area of Sarak-e Awal-e Shahidi in city of Taloqan, the center of Takhar province",Takhar province,Taluqan district,36.734133,69.533559,POINT (69.533559 36.734133),182660,Afghanistan,700,Asia,1,1,2023-11-25 00:00:00.000,2023-11-25 00:00:00.000,0,0,0,0,0,1,0,700,
497356,AFG-2023-1-17083-51,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,2,"""AFF,2023-11-02,The attack on the head of Taliban intelligence in Baghlan!"";""Hasht e Subh Daily,2023-11-02,Explosion in Baghlan Province Center: Four Individuals, Including Two Taliban Fighters, Injured""",AFF;Hasht e Subh Daily,2023-11-02;2023-11-02,"The attack on the head of Taliban intelligence in Baghlan!;Explosion in Baghlan Province Center: Four Individuals, Including Two Taliban Fighters, Injured",AFF; Local sources in Baghlan province,1,Puli Khumri town,office of the Taliban Intelligence Directorate in Baghlan,Baghlan province,Puli Khumri district,35.944583,68.715122,POINT (68.715122 35.944583),181218,Afghanistan,700,Asia,1,1,2023-11-02 00:00:00.000,2023-11-02 00:00:00.000,0,0,0,0,0,4,0,700,
