,id,relid,year,type_of_violence,country,country_id,fatality_best_estimate,gwnoa,gwnob,conflict_event,iso
49662,450724,BRA-2021-2-15142-278,2021,2.0,Bolivia,145.0,1.0,,,2021-04-22 00:00:00.000,BOL
79800,348985,UGA-2020-1-688-0,2020,1.0,DR Congo (Zaire),490.0,2.0,500.0,,2020-07-23 00:00:00.000,COD
80006,425460,UGA-2021-1-689-0,2021,1.0,DR Congo (Zaire),490.0,2.0,500.0,,2021-12-20 00:00:00.000,COD
80051,336347,DRC-2020-1-894-0,2020,1.0,DR Congo (Zaire),490.0,3.0,490.0,,2020-03-30 00:00:00.000,COD
80052,339064,DRC-2020-1-894-1,2020,1.0,DR Congo (Zaire),490.0,4.0,490.0,,2020-04-13 00:00:00.000,COD
80053,342897,DRC-2020-1-894-5,2020,1.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-04-13 00:00:00.000,COD
80054,339644,DRC-2020-1-894-4,2020,1.0,DR Congo (Zaire),490.0,3.0,490.0,,2020-04-15 00:00:00.000,COD
80055,339095,DRC-2020-1-894-2,2020,1.0,DR Congo (Zaire),490.0,19.0,490.0,,2020-04-22 00:00:00.000,COD
80056,339106,DRC-2020-1-894-3,2020,1.0,DR Congo (Zaire),490.0,33.0,490.0,,2020-04-24 00:00:00.000,COD
80776,347337,DRC-2020-3-934-47,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-01-12 00:00:00.000,COD
80777,325408,DRC-2020-3-934-0,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-01-20 00:00:00.000,COD
80778,332713,DRC-2020-3-934-3,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-01 00:00:00.000,COD
80779,332700,DRC-2020-3-934-2,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-10 00:00:00.000,COD
80780,332749,DRC-2020-3-934-4,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-14 00:00:00.000,COD
80781,332779,DRC-2020-3-934-5,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-16 00:00:00.000,COD
80782,332893,DRC-2020-3-934-6,2020,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2020-02-20 00:00:00.000,COD
80783,332898,DRC-2020-3-934-7,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-23 00:00:00.000,COD
80784,332943,DRC-2020-3-934-9,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-24 00:00:00.000,COD
80785,333204,DRC-2020-3-934-10,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-24 00:00:00.000,COD
80786,332918,DRC-2020-3-934-8,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-27 00:00:00.000,COD
80787,336487,DRC-2020-3-934-11,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-01 00:00:00.000,COD
80788,336501,DRC-2020-3-934-12,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-09 00:00:00.000,COD
80789,336533,DRC-2020-3-934-16,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-27 00:00:00.000,COD
80790,339188,DRC-2020-3-934-17,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-27 00:00:00.000,COD
80791,339273,DRC-2020-3-934-20,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-03 00:00:00.000,COD
80792,339222,DRC-2020-3-934-18,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-05 00:00:00.000,COD
80793,339264,DRC-2020-3-934-19,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-07 00:00:00.000,COD
80794,339307,DRC-2020-3-934-22,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-12 00:00:00.000,COD
80795,339333,DRC-2020-3-934-23,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-17 00:00:00.000,COD
80796,342583,DRC-2020-3-934-26,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-02 00:00:00.000,COD
80797,342612,DRC-2020-3-934-28,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-04 00:00:00.000,COD
80798,342637,DRC-2020-3-934-29,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-04 00:00:00.000,COD
80799,342757,DRC-2020-3-934-32,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-06 00:00:00.000,COD
80800,342574,DRC-2020-3-934-24,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-07 00:00:00.000,COD
80801,342638,DRC-2020-3-934-30,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-08 00:00:00.000,COD
80802,342777,DRC-2020-3-934-34,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-14 00:00:00.000,COD
80803,342759,DRC-2020-3-934-33,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-17 00:00:00.000,COD
80804,342639,DRC-2020-3-934-31,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-21 00:00:00.000,COD
80805,342597,DRC-2020-3-934-27,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-21 00:00:00.000,COD
80806,346332,DRC-2020-3-934-40,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-24 00:00:00.000,COD
80807,346250,DRC-2020-3-934-36,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-08 00:00:00.000,COD
80808,346299,DRC-2020-3-934-38,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-15 00:00:00.000,COD
80809,346710,DRC-2020-3-934-44,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-17 00:00:00.000,COD
80810,346681,DRC-2020-3-934-43,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-17 00:00:00.000,COD
80811,346615,DRC-2020-3-934-42,2020,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2020-06-23 00:00:00.000,COD
80812,348397,DRC-2020-3-934-48,2020,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2020-06-23 00:00:00.000,COD
80813,405538,DRC-2020-3-934-96,2020,3.0,DR Congo (Zaire),490.0,13.0,490.0,,2020-06-25 00:00:00.000,COD
80814,348507,DRC-2020-3-934-49,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-07-21 00:00:00.000,COD
80815,348866,DRC-2020-3-934-54,2020,3.0,DR Congo (Zaire),490.0,13.0,490.0,,2020-07-30 00:00:00.000,COD
80816,352917,DRC-2020-3-934-57,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-04 00:00:00.000,COD
80817,349153,DRC-2020-3-934-55,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-06 00:00:00.000,COD
80818,352937,DRC-2020-3-934-59,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-13 00:00:00.000,COD
80819,352888,DRC-2020-3-934-56,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-08-15 00:00:00.000,COD
80820,352933,DRC-2020-3-934-58,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-29 00:00:00.000,COD
