,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month,new_listing_count,listing_count,year_id,month_id
0,0,NK-2kLa63Qa2yXPxpd3zCFrwt,LegalEntity,Sovcombank,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
1,1,NK-32NYYLd4iT2JDc2pukDRqY,LegalEntity,Bank Dabrabyt,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
2,2,NK-3TSuSKtWtcuB3qBdLC8Y8d,Vessel,UL JI BONG 6,,,,,9114555,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
3,3,NK-4C4LEUKsLKwUnJmGeJjnp2,LegalEntity,ROSNEFT,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
4,4,NK-4JYGfcjP3Frn24sYQ3ZXE2,Vessel,PAEK MA,,,,,9066978,DPRK vessel M/V PAEK MA was involved in ship-to-ship transfer operations for oil in mid-January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
5,5,NK-4TAo3sMMLRhrZPioxA9wTs,LegalEntity,Pervyi Kanal,,,,,,"""""",,,EU Sanctions Map,20230310,,20230310,,2023-03,10,10,2023,3
6,6,NK-5AQirS6LTe4idMV6rrg7a7,LegalEntity,"Joint Stock Company Russian Agricultural Bank, JSC Rosselkhozbank",,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
7,7,NK-5W3TkdPYPNiGfhzMWR9YSa,Vessel,DONG FENG 6,,,,,9008201,"M/V DONG FENG 6 loaded DPRK coal at Hamhung, DPRK, on 11 July 2017, for export in violation of UN sanctions.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
8,8,NK-5oZE9HNa8MoJ7Er353WMH3,LegalEntity,GAZPROMBANK,Gazprombank,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
9,9,NK-5xU2etvgAmWmnF83t6xqWb,LegalEntity,RT - Russia Today English,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
10,10,NK-62i6wxQqnPoKDcLxo8DgJu,LegalEntity,Belinvestbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
11,11,NK-7RbMEBZLorCnYC4dqgk6J7,LegalEntity,ROSSELKHOZBANK,Rosselkhozbank;Sovcombank,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
12,12,NK-7xEz6np8z3gaSQpvCqxHid,LegalEntity,TV Centre International,,,,,,"""""",,,EU Sanctions Map,20220624,,20220624,,2022-06,15,15,2022,4
13,13,NK-829xBuVEFg5nzpgkVQbLtU,Person,Mahamadou AG RHISSA,,,,,,"""""",,,EU Sanctions Map,20221109,,20221109,,2022-11,2,2,2022,5
14,14,NK-8XctuQGpdX7RBkHgSS5agK,LegalEntity,Promsvyazbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
15,15,NK-9E2E97i4LRwgST9SuDvz5h,Vessel,HUA FU,,,,,9020003,"M/V HUA FU loaded DPRK coal at Najin, DPRK, on 24 September 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
16,16,NK-9p99jRNgxWSpaWHP8BTBJ7,Vessel,HAO FAN 2,,,,,8747604,"M/V HAO FAN 2 loaded DPRK coal at Nampo, DPRK, on 3 June 2017, for export in violation of UN sanctions.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
17,17,NK-AFN3teaxrTpMSeAtfKKGNu,Vessel,KOTI,,,,,9417115,"M/V KOTI engaged in a ship-to-ship transfer, likely for oil, with M/V KUM UN SAN 3 on 9 December 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
18,18,NK-Av9eGC6udD3YreqdM2Zb3f,LegalEntity,Sputnik,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
19,19,NK-BVqo6qCdREbompfYArsMyN,LegalEntity,Oriental Review,,,,,,"""""",,,EU Sanctions Map,20230705,2023-07-04T12:03:21,20230705,,2023-07,7,7,2023,6
20,20,NK-Bco5R3TmhNkEBNg2SrxpcS,LegalEntity,Belarusbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
21,21,NK-CC255tPHZcZqCC8Kuo8ZDs,LegalEntity,Rossiya 24 / Russia 24,,,,,,"""""",,,EU Sanctions Map,20220702,,20220702,,2022-07,12,12,2022,1
22,22,NK-Cs9qe4edFivYSkYadpz9Dd,LegalEntity,RT - Russia Today German,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
23,23,NK-EHbKWEsXdWP5vtSf8Lgc7d,LegalEntity,UNITED AIRCRAFT CORPORATION,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
24,24,NK-EL5cFqL5pRrFRBSUjny38g,LegalEntity,Sovcomflot,SOVCOMFLOT,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
25,25,NK-Fn3PoeCRFaHJ6yeswXyWYp,Vessel,HAO FAN 6,,,,,341985000;8628597,";M/V HAO FAN 6 loaded DPRK coal at Nampo, DPRK, on 27 August 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
26,26,NK-GwtovCwQLJ7PeGx9ASF4wb,Vessel,TONG SAN 2,,,,,445539000;8937675,"""""",,,EU Sanctions Map,20230814,2023-04-20T12:14:15,20230814,,2023-08,3,3,2023,7
27,27,NK-H7s6hjcrcx846KWw3FzENL,Vessel,SAM MA 2,,,,,8106496,"DPRK oil tanker M/V SAM MA 2 imported refined petroleum products in October, early November and mid-November 2017 through multiple ship-to-ship transfers.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
28,28,NK-HGtGaDeoaKCn6ETFaTrC6a,LegalEntity,Rossiya RTR / RTR Planeta,,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
29,29,NK-HKzdvQ2svrzLzYRXMkQqsk,LegalEntity,Russian Maritime Register of Shipping,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
